Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           34.046      -46.248       80.294  1437.9
0.0020           33.738      -49.916       83.654  1498.1
0.0040           33.345      -52.157       85.503  1531.2
0.0060           33.176      -52.465       85.640  1533.7
0.0080           33.275      -50.750       84.025  1504.7
0.0100           33.210      -47.547       80.757  1446.2
0.0120           33.145      -43.697       76.842  1376.1
0.0140           32.978      -39.730       72.708  1302.1
0.0160           32.944      -35.931       68.875  1233.4
0.0180           32.798      -32.626       65.424  1171.6
0.0200           32.627      -30.236       62.864  1125.8
0.0220           32.320      -29.204       61.524  1101.8
0.0240           32.183      -29.794       61.977  1109.9
0.0260           32.010      -31.963       63.973  1145.6
0.0280           31.782      -35.264       67.046  1200.7
0.0300           31.426      -38.984       70.410  1260.9
0.0320           31.179      -42.003       73.182  1310.6
0.0340           31.044      -43.342       74.386  1332.1
0.0360           30.921      -42.998       73.920  1323.8
0.0380           30.770      -41.835       72.605  1300.2
0.0400           30.584      -40.791       71.375  1278.2
0.0420           30.389      -40.131       70.521  1262.9
0.0440           30.240      -39.656       69.896  1251.7
0.0460           29.994      -39.361       69.355  1242.0
0.0480           29.814      -39.388       69.202  1239.3
0.0500           29.627      -39.736       69.363  1242.2
0.0520           29.670      -40.242       69.912  1252.0
0.0540           29.294      -40.700       69.994  1253.5
0.0560           29.238      -40.976       70.215  1257.4
0.0580           29.117      -40.884       70.002  1253.6
0.0600           28.863      -40.269       69.132  1238.0
0.0620           28.672      -39.107       67.779  1213.8
0.0640           28.535      -37.552       66.086  1183.5
0.0660           28.198      -35.931       64.129  1148.4
0.0680           28.022      -34.669       62.691  1122.7
0.0700           27.849      -34.151       62.000  1110.3
0.0720           27.694      -34.656       62.350  1116.6
0.0740           27.378      -36.183       63.561  1138.3
0.0760           27.208      -38.435       65.643  1175.5
0.0780           27.039      -40.919       67.958  1217.0
0.0800           26.878      -43.013       69.892  1251.6
0.0820           26.661      -44.196       70.857  1268.9
0.0840           26.654      -44.312       70.966  1270.9
0.0860           26.388      -43.617       70.006  1253.7
0.0880           26.374      -42.523       68.897  1233.8
0.0900           26.056      -41.345       67.401  1207.0
0.0920           25.609      -40.238       65.846  1179.2
0.0940           25.603      -39.339       64.942  1163.0
0.0960           25.419      -38.800       64.219  1150.0
0.0980           25.041      -38.723       63.764  1141.9
0.1000           24.739      -39.041       63.780  1142.2
0.1020           24.504      -39.542       64.045  1146.9
0.1040           24.256      -39.983       64.239  1150.4
0.1060           23.984      -40.237       64.221  1150.1
0.1080           23.805      -40.318       64.124  1148.3
0.1100           23.692      -40.240       63.932  1144.9
0.1120           23.585      -39.992       63.577  1138.5
0.1140           23.382      -39.592       62.974  1127.8
0.1160           22.982      -39.200       62.182  1113.6
0.1180           22.965      -39.039       62.004  1110.4
0.1200           22.638      -39.217       61.855  1107.7
0.1220           22.382      -39.649       62.032  1110.9
0.1240           22.332      -40.153       62.485  1119.0
0.1260           22.306      -40.546       62.852  1125.6
0.1280           22.118      -40.775       62.892  1126.3
0.1300           21.713      -40.958       62.671  1122.3
0.1320           21.548      -41.243       62.791  1124.5
0.1340           21.435      -41.646       63.081  1129.7
0.1360           21.036      -42.061       63.097  1129.9
0.1380           20.917      -42.392       63.308  1133.7
0.1400           20.507      -42.516       63.023  1128.6
0.1420           20.408      -42.364       62.773  1124.1
0.1440           20.307      -41.930       62.237  1114.6
0.1460           20.024      -41.320       61.345  1098.6
0.1480           19.811      -40.736       60.547  1084.3
0.1500           19.604      -40.402       60.006  1074.6
0.1520           19.312      -40.455       59.767  1070.3
0.1540           19.071      -40.853       59.924  1073.1
0.1560           18.691      -41.430       60.120  1076.6
0.1580           18.543      -42.071       60.615  1085.5
0.1600           18.436      -42.735       61.171  1095.5
0.1620           18.300      -43.413       61.713  1105.2
0.1640           18.102      -44.092       62.195  1113.8
0.1660           17.802      -44.673       62.474  1118.8
0.1680           17.629      -44.951       62.581  1120.7
0.1700           17.279      -44.825       62.104  1112.2
0.1720           16.944      -44.363       61.307  1097.9
0.1740           16.857      -43.711       60.568  1084.7
0.1760           16.833      -43.039       59.872  1072.2
0.1780           16.598      -42.523       59.121  1058.8
0.1800           16.364      -42.261       58.624  1049.9
0.1820           16.161      -42.225       58.385  1045.6
0.1840           16.200      -42.354       58.554  1048.6
0.1860           15.698      -42.564       58.262  1043.4
0.1880           15.574      -42.778       58.352  1045.0
0.1900           15.605      -42.933       58.537  1048.3
0.1920           15.327      -43.022       58.349  1044.9
0.1940           15.007      -43.072       58.080  1040.1
0.1960           14.911      -43.148       58.059  1039.7
0.1980           14.635      -43.282       57.918  1037.2
0.2000           14.372      -43.513       57.886  1036.6
